name,focus,desire,outside_influences,inner_dialog,challenges,insight,meditation,resolution
Partnership,"Creating a union. A partnership, no matter the structure, is for the benefit of all parties involved. Personal, business, community, or international partnerships link our common needs.",Joinin forces. You are looking for an alliance that will compliment your strengths and offset your weaknesses.,Showing your ability. Someone is looking at you as a potential associate. Your talents seem to match up with their needs. Now is the time to show what you can do.,Wearing blinders. Your focus may be on having a relationship with a specific person or a particular type of person. Do not let your preconceived ideas blind you to all the lovely possibilities that surround you.,Being alone. Being alone is not the equivalent of being lonely. Learning to be comfortable with yourself is the first step in finding happiness with another. The same is true with business partnerships. Being self-sufficient can make you a wonderful partner.,Making choices. A change is in the wind. A new partnership opportunity is opening up for you. Use your common sense to assess the possibilities and make a smart decision.,"Making a whole. A partnership is the pairing of two wholes, not two halves.","Honoring partnership. A fulfilling partnership, whether personal or professional, is based on honesty and respect. Your commitment and vitality keep your alliances strong. Continue to take great pleasure in honoring and celebrating your partnerships."
Passages ,"Going places. A portal to a new place or adventure is opening for you. You may be directed towards a new relationship or professional opportunity. Be open to new people, places, and things.","Unraveling clues. You are looking for answers to a dilemma you are facing. Your situation may be routine or out of te ordinary, but it will require you to travel down a different path to arrive at the solution","Paying the price. The Universe will extract a price for the journey you desire to take. Your ideas and vision may be excellent, but your success will arrive when you have enough life experience to give them context.",Reading the map. A promising path will present itself under unusual circumstances. Your job is to recognize the signs and have the visions to follow the directions.,"Handling frustrations. You are searching for directions. Your way seems to be blocked wherever you turn. Waiting for guidance can be discouraging and frustrating. Be patient, you can handle this temporary roadblock.",Interesting ideas. A new idea may spring into your mind. You may be tempted to dismiss it. Take the time to examine its potential. The simplicity of this idea ay bring surprising results.,"Starting point, There are many paths to the same place.","Accepting an invitation. The gate is held wide for you. You have always yearned to have a look around, but never dared to step inside. Take this opportunity to explore your unused talents and see where they lead you."
Peace,Seeking peace. Your longing for a peaceful home or work environment is the focus here. You also seek inner peace.,Starting over. You want a fresh start and an end to personal drama. You can begin now.,Ending the struggle. Consideration of this around you is preventing you from acting in your own best interest. Stop struggling to please everyone. It will never work.,Yielding ground. Do you take the path of least resistance when faced with a conflict? Will this lead you to lasting peace or only pacify the current situation?,Revealing choice. You are making choices that lead to peace or chaos. Do you really want the tranquility you claim or are you actually more interested in the drama?,Being still. Be still for a while. Examine your own motives. There will be a peaceful solution to the problem if you stop trying to manipulate the situation.,Making time. Set aside time for quiet reflection each day.,"Finding peace. You will work out a solution to your current situation, and regain the tranquility you desire."
Possibilities,Suspending disbelief. Embrace the realm of possibilities. Adopt the concept : “You’ll see it when you believe it.” You are a creative force in the Universe.,"Seeing possibilities. You want to see the world as full of possibilities. Watch for coincidence and synchronicity and know that this is the Universe communicating with you. The more you take notice and are grateful, the more opportunity comes your way.",Choosing optimism. Ignore the prophets of doom and gloom. They are there to trip you up and distract you from your journey.,"Awakening potential. Your dreams are not impossible fantasies or childish imaginings. Dreams talk to you and awaken possibilities in the safety of your imagination. When you are ready, make them real. ","Making a plan. You want to bring your dream to life. There is a big difference between dreaming it up, talking about doing it, and actually doing it. To do it, you need a plan and you need to follow that plan. Otherwise, your dream will just be an interesting idea you talk about with your friends.","Finding connections. When you fully embrace and commit to an idea, the pieces will suddenly start falling into place. You will find resources, people, and connections you never thought possible.",Using imagination. Imagine a life of possibilities. Imagine your possibilities to life.,Being the dream. You have limitless possibilities. You are blessed with vision and talent to make your dreams come true.
Procrastination,"Delaying action. Putting off what should be done. Habitually delaying until tomorrow, what you could do today. Avoiding endings.",Letting go. You desire an end to the frustrating impasse that is stifling your ability to move forward. It may be that you need to let go of some unrealistic expectations and free yourself to finish what you start.,Feeling the stress. You may feel your progress in being delayed due to the inability of someone else to get the job done. Take heart. Your current situation will soon resolve itself and you will once again be moving ahead.,"Stalling action. Self-doubt is procrastination’s best friend. When you are unsure of our direction, you put off action. Delay can be a good thing if it gives you time to reconsider your plan before moving on. But, do not talk yourself out of your dreams.","Finishing projects. Does the ability to put things off give you a sense of control? You are only fooling yourself. Which do you prefer, the feeling of accomplishment or the pressure of things left undone?","Eliminating obstacles. Do you let obstacles accumulate until you cannot even get to the project you want to begin or complete? Lost instructions, broken tools, and messy workspaces all serve as reasons you cannot get things done.",Coming to terms. Cast off self-doubt. Do what you love.,"Reconsidering your goal. If you are in the depths of procrastination, consider that you may be heading in the wrong direction. Forcing yourself to do something you do not truly believe in will not bring progress or happiness. What lies beneath your procrastination? This is the answer to your dilemma."
Prophecy,"Requiring illumination. Seeking answers that will inspire, illuminate, remove doubt, and give comfort, hope, and safety.",Knowing the future. You wish to know what is in store for you. Are you looking for a guarantee that everything will turn out right before you even try?,"Expecting guidance. There are guides and helpers along your path. Often, assistance is found in quite unexpected places. Your job is to watch for the messengers and consider their advice as you travel through life.","Telling your fortune. You are your own fortuneteller. There is a quiet force inside you directing and encouraging your actions. You know when you are on the right path. If you listen, you will hear your inner guidance.",Wasting time. Why worry about the future when the present is here right now. Do not waste time agonizing over what may be and miss the beauty of this day.,"Being open. Your hopes and desires will be realized, though not always exactly as you thought they would. Sometimes the Universe has higher expectations of you than you have of yourself.","Allowing grace. Live in the present, make plans for the future, but the the details to the Universe.",Traveling light. Your journey to enlightenment will please and surprise you.
Prosperity,Accessing treasures. Life’s riches are found in many forms. What are your treasures and how are you using them?,Aligning your talents. You desire a profitable outcome to your current pursuit. See your intended results clearly and align your talents accordingly. Your efforts are the best predictor of your success.,Determining value. Do not measure your worth by another person’s values.,"Acquiring wealth. What do you want to accumulate? Friends, knowledge, money, possessions, and experiences are just a few of the riches available to you. Collect some of each or specialize in just a few. The choice is yours.","Being grateful. Acknowledge the richness of the life you have, even as you strive for greater success. Appreciation and gratitude are essential elements in attracting prosperity.",Investing in yourself. Your belief in your dreams fuels your ambition. Dream big. ,"Saying yes. The Universe does not say no, your actions do.","Unexpected riches. An unexpected windfall ,ay suddenly appear. Remember that riches are not just monetary and be open to your good fortune however it arrives."
Reflection,"Reflecting on life. Be truthful to yourself and others, Live fully. Take time to appreciate your life as it is.",Seeking meaning. You want a deeper understanding of the meaning of your life. You want to know that your contribution is valuable. Be assured that it is.,"Calling names. Do you fear the opinion of others. If a label is untrue, do not wear it. Send it back to the source with your best wishes.",Thinking it over. Do you examine every issue to the point of indecision? Allow some wiggle room for serendipity.,Living fully. Do not let bleak reports destroy your appreciation of life. There will always be darkness and light. Spread the light.,Being still. A deeper understanding of your situation will reveal itself if you allow yourself time to quietly reflect.,Being truthful. Tell yourself the truth and your problems will be cut in half. ,"Knowing yourself. Be your own trusted companion., the one you can always count on. "
Responsibility,Being accountable. The ability to respond in a meaningful way is your aim. You want to be counted on when you give your word. Insight and foresight are requirements.,Being truthful. You want to be in charge of the situation. Be realistic about your abilities and do not pretend to greater knowledge than you have. Integrity is an essential part of responsibility.,"Balancing commitments. You may be asked to take on too much. Being responsible is wonderful, but becoming overloaded and resentful is foolish.",Doubting thoughts. Do not let dear and doubt stop you from giving your best. Take on a small project and see it through. Your ability will grow with experience.,Measuring up. You are over concerned with how others will judge your capabilities. You cannot please everyone. Plan with care and follow through. Being responsible includes the ability to handle complaints from those you try to serve.,"Stepping up. When called upon, you will rise to the occasion brilliantly.",Being chosen. Choose your responsibilities or they will choose you.,Acting gracefully. You take on responsibility wisely without arrogance. You can be counted on and this gives your life purpose and honor.
Sanctuary,"Coming home. You require a place of safety and comfort. A personal space where your authentic self can be expressed without censor. Your own spiritual sacred ground. Whether this is a physical location or an inner sanctuary, you need a place to come home to.","Feathering your nest. You may have a sudden urge to pay a visit to your family home. Or, you may want to redo your home or work space to better express your needs and personality. Having comfortable surroundings is especially important to you at this time.",Crossing boundaries. You do no want your personal space invaded or your private matters revealed. Establish your limits up front or you will have none.,Comforting space. You have long believed that “Home is where the heart is.” Now you realize that home is also within you. There is a sanctuary inside you that is accessible only to you.,"Feeling separate. Lately you may be feeling out of place or out of step. Conduct a self-inventory. It may be that it is time to move one and find more compatible surroundings or relationships. If theses not the case, identify the problem and restore harmony.","Finding a home. You may soon find or create a new home. This may be a literal or a figurative home. Either way, you will feel surrounded by love and appreciation. ",Accepting comfort. There is a peaceful sanctuary within you.,"Finding security. You will find the safety and comfort you seek, Along the way, you will discover your own ability to create a sanctuary for yourself. You have done well. "
Signal,"Looking for signs. There are signs and signals all around you. You may recognize them as hunches, coincidences, or intuition. The better you get at receiving signals, the more the Universe will send your way.",Listening well. Your desire to know requires that you listen and then act. Constantly asking the same questions without acting on  the answer causes guidance overload. Nothing happens.,Sorting information. You are overwhelmed with all the information that bombards you daily. Tune in to your purpose and soon you will recognize the clues that belong to you.,"Looking for directions. If you quit seeking an exit, you will discover an opportunity. The Universe will show the way.",Rejecting the signs. You have an idea of how things should be. The Universe may have bigger plans for you than you can imagine. Be open and do not reject a sign just because it does not fit with your current thinking.,"Trusting guidance. When the Universe gives your a green light, get a move on!","Finding your way. Stop, look, and listen and you will find your way.","Guiding light. Your path will be lit. If you have the faith and courage to walk the path, all will be well."
Sorrow,Understanding sorrow. Understanding and accepting sorrow can be difficult. Sorrow is a companion of joy. They are opposites on a continuum. Sorrow offers a time to reflect.,"Avoiding sorrow. You may wish to avoid sorrow, but you cannot. Living fully requires you to experience spiritual and emotional highs and lows, and to learn from both,","Making amends. There may be a situation that requires you to make amends, Or, you may be waiting for someone to make amends to you. Do what needs to be done. Apologize or forgive and then move forward.",Letting go. Are you punishing yourself for past imperfections? Accept the lesson and move forward. Lingering in sorrow and regret serves no one. ,Experiencing emotions. Joy can lead to sorrow and sorrow can lead to joy. Emotions are a source of information. You are not your feelings. Learn from sorrow as you learn from joy.,Finding perspective. Put your lessons of sorrow and disappointment in perspective and move forward. You cannot see the future is you are stick in the past. ,"Learning lessons. Sorrow is a teacher. Sit quietly and learn, then leave in peace. ","Weathering the storm. Sorrow, regret, and disappointment will pass. You will be stronger for the experience and more able to handle adversity without crumbling. You can now look forward to sunny days."
Spirit Guide,"Being aware. Your higher power source is the focus. Some feel a need to define this source by name. However you define your higher power, you need to be tuned in to receive guidance.",Exploring inward. You are on a quest for answers. Your inward exploration will lead you to realize that you are more in tune with the Universe than you ever imagined.,Distracting influences. The distractions of your daily life may leave little time for spiritual pursuits. Step out of the chaos and connect with your source.,Meeting place. Your spirit guide is waiting for you. It is up to you to provide a meeting place. Set aside time to listen and reflect.,Receiving guidance. You will need an open heart and an open mind to receive guidance.,Being connected. Being connected to and trusting in the wisdom of the Universe requires your active participation. ,Adopting rituals. Daily meditation is an excellent way to connect with guidance.,Joining forces. Connection to the Universe restores and heals. You are not alone in your journey.
Strength,"Understanding strength. Strength and fortitude are physical, mental, and emotional. Your understanding of what it means to possess strength is the focus. ","Wishing for strength. You are facing a situation that calls for strength. You doubt that you have what is being required of you. Strength of character, emotional stability, and physical endurance all grow stronger with use. You have what you need.",Stepping up. You may be challenged beyond your comfort zone. Growth requires you to stretch your limits.You will have the necessary strength when it is required. ,Being capable. There is nothing you cannot face and little you cannot conquer. Remove “I can’t” from your excuse list.,Developing skill. Challenge builds mastery. Do not back away from the challenges of life. Finding an easy way  out is not your answer. You are being called upon to develop strengths that will serve you well through your own life.,"Finding strength. Tap into your reserve, your core of strength. You have capability you have not realized. Much is possible when you find your power.",Facing obstacles. Calmly assert your inner strength when facing obstacles.,"Emerging with strength. Your strength of character, endurance, and courage will see you through. Your strength is forever your ally."
Surrender,Relinquishing control. Not all things are under your control. There are powers in the Universe that influence outcomes. Sometimes you must surrender and accept what is. ,Letting go. You want to understand the puzzle of life. Sometimes the bigger picture is only visible when you let go and step back.,Embracing change. Changes are entering your life. Allow yourself to accept what is coming your way without resistance.,Enjoying the ride. You expect answers to your questions. Life is not always predictable. There are events in store that will surprise and delight you. Surrender to the unexpected and enjoy the ride.,"Allowing trust. You may have difficulty trusting in the Universe to guide you. Struggling against the flow of your life will only upset you. There are times when you have no choice, but to allow yourself to be guided and trust in the outcome.",Letting go. Letting go of your need to control can be an exercise in faith. Saying yes to whatever the Universe requests of you is a powerful surrender. ,Surrendering to the mystery. Surrender to all that life requests of you. Treasure the mysteries. ,Following your guide. There is grace in surrender. Following the guidance of the Universe with simple trust is an exceptional experience. Surrender your doubts.
Transformation,Becoming whole. The metamorphosis from caterpillar to  butterfly is filled with symbolism. You grow and change throughout your life. Becoming all that you are meant to be is the focus.,Making changes. You want to make changes in your life. Now is the time to renew your hopes and dreams and move forward.,Setting the stage. You will be presented with challenges that set the stage for a new chapter in your life. Polish your skills while you wait for this change.,Controlling change. You like to decide when and how your life changes. You tell yourself that you are in charge. You are not in charge of the coming change. Accept it and enjoy the unexpected results.,Recognizing blessings. There is a discrepancy between what you are planning and what the Universe has in store for you. Your life is about to be transformed. Recognize this as the blessing it is. ,Revealing change. You are in the midst of change. You will see a new reflection in the cosmic mirror. Welcome the beauty that is revealed.,Becoming change. Who you were is not who you are now; nor are you now what you will become. Life is transformation.,Living fully. You want a big meaningful life. Change brings opportunities to explore new aspects of yourself. There are exciting changes coming your way.
Trust,"Measuring trust. Trust is a measure of your confidence in yourself, your relationships, your community, and the Universe. Allowing yourself to trust and be trusted is the focus.","Reassuring trust. You want to place your trust in a relationship or an organization. You want reassurance that your trust is justified. Are you trusting from strength or weakness? Are you depending on a relationship more than on yourself? You know the answer,",Questioning commitment. There are people around you who question your commitment to a cause or relationship. Can you be trusted and counted on? Be understanding and give them honest answers to their questions. You will feel more confident as a result. ,Trusting yourself. Are you unsure of your own ability to trust or be trusted? What is your bottom line? What do you value above all? Find your points of no compromise and know you can trust and be trusted at that level. Work up from there.,Misplacing trust. Have you placed your trust in a person or situation that does not merit it? Assess the situation carefully. This is not a time to go against your intuition. Trust can be taken back as well as given. Trust must be deserved. You are the only person that determines who deserves your trust.,Trusting the Universe. Sometimes you have to keep faith that you are being led in the right direction even when the road is rocky and uphill. Trust your intuition. Trust the wisdom of the Universe.,Connecting trust. Trust connects you to the Universe. You are never alone. ,Extending trust. Your ability to trust and be trusted has been tested. You have held fast. The way is open for you to receive the blessings of a trusting relationship.
Wisdom ,"Seeking wisdom. There is a type of knowledge beyond that available in the ordinary course of learning. Wisdom combines knowledge, compassion, and insight.","Choosing wisely. You want to act wisely and with good intentions. To do this, consider the consequences of your actions before making your decision. In taking these measures, you are already acting wisely. ","Asking for advice. Look for answers with an open mind and heart. Do not be afraid to to ask the advice of someone older and wiser. Crones, sages, and wise ones are there to guide you.",Trading positions. There is an exchange to be made when acquiring wisdom. Youthful innocence gives way to deeper understanding. Do not be afraid to of this transition.,"Deciding wisely, It is easy to let your passion overrule your judgement. The wise decision is one of quiet deliberation. Allow your soul knowledge to guide you to a fair and equitable solution. ",Gathering insight. Look at your situation from a different perspective and you will see new possibilities. Ask a trusted advisor for their opinion. Be receptive to words of wisdom. ,Treasuring wisdom. Wisdom is a treasure. Collect it and share it with those you love. ,Honoring wisdom. Wisdom is acquired along with the lines on your face and the loving memories in your heart. The path to wisdom is paved with joy and sorrow. Wisdom is the reward for your full participation in life. Honor and trust your wisdom.
